서울ㆍ인천ㆍ경기도 / 서울
2021-09-09 00:00 - 구름많음, 최저 19, 최고 29, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 22, 최고 28, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 22, 최고 27, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 22, 최고 28, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 22, 최고 27, 강수확률 40
부산ㆍ울산ㆍ경상남도 / 울산
2021-09-09 00:00 - 구름많음, 최저 20, 최고 27, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 20, 최고 27, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 19, 최고 27, 강수확률 30
2021-09-10 12:00 - 구름많음, 최저 19, 최고 27, 강수확률 30
2021-09-11 00:00 - 맑음, 최저 19, 최고 29, 강수확률 10
2021-09-11 12:00 - 맑음, 최저 19, 최고 29, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 19, 최고 29, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 19, 최고 29, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 20, 최고 27, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 20, 최고 27, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 20, 최고 26, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 20, 최고 27, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 20, 최고 27, 강수확률 40
부산ㆍ울산ㆍ경상남도 / 창원
2021-09-09 00:00 - 구름많음, 최저 20, 최고 28, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 20, 최고 28, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 20, 최고 27, 강수확률 30
2021-09-10 12:00 - 구름많음, 최저 20, 최고 27, 강수확률 30
2021-09-11 00:00 - 맑음, 최저 20, 최고 29, 강수확률 10
2021-09-11 12:00 - 맑음, 최저 20, 최고 29, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 21, 최고 30, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 21, 최고 30, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 20, 최고 29, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 20, 최고 29, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 21, 최고 28, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 21, 최고 28, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 21, 최고 27, 강수확률 40
부산ㆍ울산ㆍ경상남도 / 진주
2021-09-09 00:00 - 구름많음, 최저 18, 최고 29, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 18, 최고 29, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 19, 최고 27, 강수확률 30
2021-09-10 12:00 - 구름많음, 최저 19, 최고 27, 강수확률 30
2021-09-11 00:00 - 맑음, 최저 19, 최고 29, 강수확률 10
2021-09-11 12:00 - 맑음, 최저 19, 최고 29, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 19, 최고 30, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 19, 최고 30, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 19, 최고 29, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 19, 최고 29, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 19, 최고 28, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 20, 최고 28, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 20, 최고 27, 강수확률 40
부산ㆍ울산ㆍ경상남도 / 거창
2021-09-09 00:00 - 구름많음, 최저 16, 최고 28, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 16, 최고 28, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 18, 최고 26, 강수확률 30
2021-09-10 12:00 - 구름많음, 최저 18, 최고 26, 강수확률 30
2021-09-11 00:00 - 맑음, 최저 17, 최고 29, 강수확률 10
2021-09-11 12:00 - 맑음, 최저 17, 최고 29, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 16, 최고 31, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 16, 최고 31, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 17, 최고 28, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 17, 최고 28, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 17, 최고 27, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 18, 최고 27, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 19, 최고 25, 강수확률 40
부산ㆍ울산ㆍ경상남도 / 통영
2021-09-09 00:00 - 구름많음, 최저 21, 최고 28, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 21, 최고 28, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 22, 최고 27, 강수확률 30
2021-09-10 12:00 - 구름많음, 최저 22, 최고 27, 강수확률 30
2021-09-11 00:00 - 맑음, 최저 22, 최고 28, 강수확률 10
2021-09-11 12:00 - 맑음, 최저 22, 최고 28, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 22, 최고 29, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 22, 최고 29, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 22, 최고 28, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 22, 최고 28, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 22, 최고 28, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 22, 최고 28, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 22, 최고 27, 강수확률 40
대구ㆍ경상북도 / 대구
2021-09-09 00:00 - 구름많음, 최저 19, 최고 29, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 19, 최고 29, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 19, 최고 28, 강수확률 30
2021-09-10 12:00 - 맑음, 최저 19, 최고 28, 강수확률 20
2021-09-11 00:00 - 구름많음, 최저 19, 최고 30, 강수확률 20
2021-09-11 12:00 - 맑음, 최저 19, 최고 30, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 20, 최고 30, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 20, 최고 30, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 19, 최고 29, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 19, 최고 29, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 20, 최고 28, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 20, 최고 28, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 20, 최고 27, 강수확률 40
대구ㆍ경상북도 / 안동
2021-09-09 00:00 - 구름많음, 최저 17, 최고 27, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 17, 최고 27, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 18, 최고 27, 강수확률 30
2021-09-10 12:00 - 맑음, 최저 18, 최고 27, 강수확률 20
2021-09-11 00:00 - 구름많음, 최저 18, 최고 28, 강수확률 20
2021-09-11 12:00 - 맑음, 최저 18, 최고 28, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 18, 최고 29, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 18, 최고 29, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 18, 최고 28, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 18, 최고 28, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 17, 최고 27, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 18, 최고 26, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 18, 최고 26, 강수확률 40
대구ㆍ경상북도 / 포항
2021-09-09 00:00 - 구름많음, 최저 20, 최고 27, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 20, 최고 27, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 20, 최고 27, 강수확률 30
2021-09-10 12:00 - 맑음, 최저 20, 최고 27, 강수확률 20
2021-09-11 00:00 - 구름많음, 최저 20, 최고 29, 강수확률 20
2021-09-11 12:00 - 맑음, 최저 20, 최고 29, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 21, 최고 28, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 21, 최고 28, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 21, 최고 26, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 21, 최고 26, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 21, 최고 26, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 21, 최고 26, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 21, 최고 26, 강수확률 40
대구ㆍ경상북도 / 경주
2021-09-09 00:00 - 구름많음, 최저 19, 최고 27, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 19, 최고 27, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 18, 최고 28, 강수확률 30
2021-09-10 12:00 - 맑음, 최저 18, 최고 28, 강수확률 20
2021-09-11 00:00 - 구름많음, 최저 18, 최고 29, 강수확률 20
2021-09-11 12:00 - 맑음, 최저 18, 최고 29, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 18, 최고 30, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 18, 최고 30, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 18, 최고 27, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 18, 최고 27, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 19, 최고 27, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 19, 최고 27, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 19, 최고 25, 강수확률 40
대구ㆍ경상북도 / 울진
2021-09-09 00:00 - 구름많음, 최저 17, 최고 26, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 17, 최고 26, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 18, 최고 27, 강수확률 30
2021-09-10 12:00 - 맑음, 최저 18, 최고 27, 강수확률 20
2021-09-11 00:00 - 구름많음, 최저 18, 최고 27, 강수확률 20
2021-09-11 12:00 - 맑음, 최저 18, 최고 27, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 18, 최고 27, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 18, 최고 27, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 18, 최고 25, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 18, 최고 25, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 18, 최고 25, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 19, 최고 25, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 19, 최고 25, 강수확률 40
대구ㆍ경상북도 / 울릉도
2021-09-09 00:00 - 구름많음, 최저 19, 최고 25, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 19, 최고 25, 강수확률 20
2021-09-10 00:00 - 구름많음, 최저 20, 최고 25, 강수확률 30
2021-09-10 12:00 - 맑음, 최저 20, 최고 25, 강수확률 20
2021-09-11 00:00 - 구름많음, 최저 21, 최고 26, 강수확률 20
2021-09-11 12:00 - 맑음, 최저 21, 최고 26, 강수확률 0
2021-09-12 00:00 - 맑음, 최저 22, 최고 26, 강수확률 0
2021-09-12 12:00 - 맑음, 최저 22, 최고 26, 강수확률 10
2021-09-13 00:00 - 구름많음, 최저 20, 최고 25, 강수확률 20
2021-09-13 12:00 - 맑음, 최저 20, 최고 25, 강수확률 20
2021-09-14 00:00 - 구름많음, 최저 20, 최고 24, 강수확률 30
2021-09-15 00:00 - 흐림, 최저 20, 최고 24, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 19, 최고 24, 강수확률 40
제주도 / 제주
2021-09-09 00:00 - 구름많음, 최저 22, 최고 28, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 22, 최고 28, 강수확률 30
2021-09-10 00:00 - 흐리고 비, 최저 23, 최고 27, 강수확률 70
2021-09-10 12:00 - 흐리고 비, 최저 23, 최고 27, 강수확률 60
2021-09-11 00:00 - 흐리고 비, 최저 23, 최고 29, 강수확률 60
2021-09-11 12:00 - 맑음, 최저 23, 최고 29, 강수확률 20
2021-09-12 00:00 - 맑음, 최저 24, 최고 29, 강수확률 20
2021-09-12 12:00 - 흐림, 최저 24, 최고 29, 강수확률 40
2021-09-13 00:00 - 흐림, 최저 24, 최고 28, 강수확률 40
2021-09-13 12:00 - 흐림, 최저 24, 최고 28, 강수확률 40
2021-09-14 00:00 - 흐림, 최저 24, 최고 29, 강수확률 40
2021-09-15 00:00 - 구름많음, 최저 24, 최고 28, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 24, 최고 28, 강수확률 40
제주도 / 서귀포
2021-09-09 00:00 - 구름많음, 최저 21, 최고 28, 강수확률 20
2021-09-09 12:00 - 구름많음, 최저 21, 최고 28, 강수확률 30
2021-09-10 00:00 - 흐리고 비, 최저 23, 최고 27, 강수확률 70
2021-09-10 12:00 - 흐리고 비, 최저 23, 최고 27, 강수확률 60
2021-09-11 00:00 - 흐리고 비, 최저 24, 최고 28, 강수확률 60
2021-09-11 12:00 - 맑음, 최저 24, 최고 28, 강수확률 20
2021-09-12 00:00 - 맑음, 최저 24, 최고 29, 강수확률 20
2021-09-12 12:00 - 흐림, 최저 24, 최고 29, 강수확률 40
2021-09-13 00:00 - 흐림, 최저 24, 최고 28, 강수확률 40
2021-09-13 12:00 - 흐림, 최저 24, 최고 28, 강수확률 40
2021-09-14 00:00 - 흐림, 최저 25, 최고 29, 강수확률 40
2021-09-15 00:00 - 구름많음, 최저 24, 최고 28, 강수확률 40
2021-09-16 00:00 - 흐림, 최저 24, 최고 28, 강수확률 40
